72,Datum+Zeit,Heimverein,Gastverein,Halle ,SR-Verein,Doppeleinsatz,1. Schiedsrichter ,2.Schiedsrichter
Bezirksliga U18 ml (u18BZL-W) - Gruppe West 2023/24,2023-09-24T15:30,TSV München-Solln,Slama Jama Gröbenzell,Sporthalle TSV Solln,BC Hellenen München,,,
Bezirksklasse Herren (BKHM) Mitte 2023/24,2023-09-29T20:00,TSV 1860 München,Haching Baskets,Wilhelm-Busch-Realschule,Ackermannbogen,,,
Bezirksliga U18 ml (u18BZL-M) - Gruppe Mitte 2023/24,2023-09-29T20:30,TSV München Ost,TSV Grünwald,Ost-Dome 1,TSV 1860 München,,,
Kreisklasse Herren B (KKHB)  2023/24,2023-09-29T20:30,TuS Holzkirchen,SVN München,Sportzentrum,SV Bad Tölz,,,
Bezirksliga U14 ml (u14BZL-W) - Gruppe West 2023/24,2023-09-30T10:00,ESV Staffelsee 2,TSV München-Solln,Staffelsee-Gymnasium,TSV Weilheim,,,
Bezirksliga U14 ml (u14BZL-W) - Gruppe West 2023/24,2023-09-30T10:00,MTV München,MTSV Schwabing 5,Berufsfachschule Kinderpflege,TSV München Ost,,,
Bezirksliga U12 ml (u12BZL-W) - Gruppe West 2023/24,2023-09-30T10:00,TSV München-Forstenried,Slama Jama Gröbenzell,GS Baierbrunner Straße,TuS Geretsried,,,
Bezirksliga U12 ml (u12BZL-O) - Gruppe Ost 2023/24,2023-09-30T10:00,TSV Wasserburg,TG Landshut,Luitpold-Gymnasium,TSV Neuötting,x,,
Bezirksoberliga U14 wbl (bolu14w)  2023/24,2023-09-30T10:00,TuS Bad Aibling 2,TSV Jahn Freising,Sporthalle im Sportpark,TSV 1860 Rosenheim,,,
Bezirksliga U12 ml (u12BZL-O) - Gruppe Ost 2023/24,2023-09-30T10:00,TuS Traunreut,TS Jahn München 2,null,TSV 1896 Freilassing,,,
Bezirksoberliga U14 ml (u14BOL) 2023/24,2023-09-30T11:30,TSV Milbertshofen,FC Bayern München 3,Gebrüder-Apfelbeck-Halle,Ackermannbogen,,,
Bezirksoberliga U14 ml (u14BOL) 2023/24,2023-09-30T11:30,TSV Weilheim,BC Hellenen München,Sportzentrum,TSV München-Solln,x,,
Bezirksliga U12 ml (u12BZL-O) - Gruppe Ost 2023/24,2023-09-30T11:45,SV Wacker Burghausen 2,TSV Neuötting,Franz-Xaver-Gruber Mittelschule,TSV Trostberg 1863,,,
Bezirksliga U12 ml (u12BZL-M) - Gruppe Mitte 2023/24,2023-09-30T12:15,FC Bayern München 3,MTV München,FC Bayern Campus,TSV München-Forstenried,,,
Bezirksliga U16 ml (u16BZL-W) - Gruppe West 2023/24,2023-09-30T12:15,TSV 1865 Dachau,MTV München,Jahnhalle,TSV Schleißheim,,,
Bezirksliga U16 ml (u16BZL-O) - Gruppe Ost 2023/24,2023-09-30T12:15,TSV Wasserburg,TSV 1884 Wolnzach,Luitpold-Gymnasium,TSV Neuötting,x,,
Bezirksliga U18 ml (u18BZL-W) - Gruppe West 2023/24,2023-09-30T14:00,TSV Weilheim,TSV 1898 Penzberg,Sportzentrum,TSV München-Solln,x,,
Bezirksoberliga U16 ml (u16BOL) 2023/24,2023-09-30T14:15,Haching Baskets,TSV Haar,Lise-Meitner-Gymnasium,TSV Gräfelfing e.V.,,,
Bezirksklasse Damen (bkd) 2023/24,2023-09-30T14:15,TSV Ismaning,TSV München Ost,Realschule Ismaning,MTV München,x,,
Bezirksoberliga U16 ml (u16BOL) 2023/24,2023-09-30T14:30,DJK SB München 2,TG Landshut,Fischer-von-Erlach-Halle,TSV München Ost,,,
Bezirksoberliga U14 wbl (bolu14w)  2023/24,2023-09-30T14:30,TSV Gräfelfing e.V.,MTV München,Kurt-Huber-Gymnasium,DJK SB München 2,,,
Bezirksoberliga U14 ml (u14BOL) 2023/24,2023-09-30T15:00,Ackermannbogen,München Basket 2,Hauptschule Elisabeth-Kohn-Str.,BC Hellenen München,,,
